Market,Ticker,Name,Close,Total Score,Market(30),Sector(30),Stock(50),Ichi(15),EMA Trend,EMA Stack,Entry Signal,Candle Trig,RSI,ATR,Entry Zone,SL (1.5 ATR),TP1 (2R),TP2 (3R)
COMMODITY,XOM,ExxonMobil,174.21,95,0,30,50,15,YES,FULL,YES,no,78.7,4.57,174.21,167.37,187.91,194.76
COMMODITY,CVX,Chevron,213.95,95,0,30,50,15,YES,FULL,YES,no,82.7,4.34,213.95,207.44,226.95,233.46
COMMODITY,COP,ConocoPhillips,134.65,95,0,30,50,15,YES,FULL,YES,no,82.1,3.08,134.65,130.03,143.89,148.52
COMMODITY,EOG,EOG Resources,151.2,95,0,30,50,15,YES,FULL,YES,no,86.4,3.48,151.2,145.98,161.65,166.87
COMMODITY,DVN,Devon Energy,52.39,95,0,30,50,15,YES,FULL,YES,no,81.7,1.33,52.39,50.4,56.37,58.36
COMMODITY,OXY,Occidental,66.72,95,0,30,50,15,YES,FULL,YES,no,83.6,1.95,66.72,63.8,72.57,75.49
COMMODITY,CTRA,Coterra Energy,36.56,95,0,30,50,15,YES,FULL,YES,no,81.1,0.93,36.56,35.18,39.34,40.73
COMMODITY,PSX,Phillips 66,188.47,95,0,30,50,15,YES,FULL,YES,no,75.9,5.72,188.47,179.89,205.63,214.21
OSLO,AKRBP.OL,Aker BP,362.4,95,0,30,50,15,YES,FULL,YES,no,69.2,12.42,362.4,343.78,399.65,418.27
SP500,CVX,Chevron,213.95,95,0,30,50,15,YES,FULL,YES,no,82.7,4.34,213.95,207.44,226.95,233.46
OSLO,EQNR.OL,Equinor,420.2,95,0,30,50,15,YES,FULL,YES,no,80.2,16.11,420.2,396.04,468.52,492.68
OSLO,VAR.OL,Var Energi,50.46,95,0,30,50,15,YES,FULL,YES,no,74.3,2.13,50.46,47.27,56.85,60.04
SP500,XOM,ExxonMobil,174.27,95,0,30,50,15,YES,FULL,YES,no,78.8,4.57,174.27,167.42,187.97,194.82
COMMODITY,XLE,Energy Select ETF,63.09,95,0,30,50,15,YES,FULL,YES,no,84.5,1.23,63.09,61.24,66.78,68.63
OSLO,NHY.OL,Norsk Hydro,101.45,90,0,30,50,10,YES,FULL,YES,no,68.3,4.06,101.45,95.36,113.63,119.73
COMMODITY,MPC,Marathon Petroleum,251.37,85,0,30,40,15,YES,FULL,no,no,75.1,8.35,251.37,238.85,276.41,288.93
COMMODITY,EQT,EQT Corp,66.25,85,0,30,40,15,YES,FULL,no,no,63.9,2.23,66.25,62.91,72.93,76.27
COMMODITY,FANG,Diamondback,201.88,85,0,30,40,15,YES,FULL,no,no,77.2,5.5,201.88,193.64,218.37,226.61
COMMODITY,VLO,Valero,252.7,85,0,30,40,15,YES,FULL,no,no,69.9,9.16,252.7,238.95,280.19,293.94
COMMODITY,APA,APA Corp,44.17,85,0,30,40,15,YES,FULL,no,no,87.8,1.72,44.17,41.6,49.32,51.89
OSLO,TGS.OL,TGS NOPEC,132.5,80,0,15,50,15,YES,FULL,YES,no,79.4,3.95,132.5,126.57,144.35,150.28
OSLO,YAR.OL,Yara,559.8,80,0,15,50,15,YES,FULL,YES,no,65.2,18.92,559.8,531.42,616.57,644.95
OSLO,SUBC.OL,Subsea 7,292.0,80,0,15,50,15,YES,FULL,YES,no,74.5,9.23,292.0,278.16,319.68,333.52
SP500,SO,Southern Company,97.39,75,0,15,50,10,YES,FULL,YES,no,59.4,1.64,97.39,94.92,102.32,104.79
OSLO,AKSO.OL,Aker Solutions,45.7,70,0,15,40,15,YES,FULL,no,no,71.3,1.3,45.7,43.75,49.6,51.55
OSLO,AKER.OL,Aker ASA,1074.0,70,0,15,40,15,YES,FULL,no,no,61.5,31.6,1074.0,1026.61,1168.79,1216.18
STOCKHOLM,ERIC-B.ST,Ericsson,107.4,70,0,15,40,15,YES,FULL,YES,no,55.4,3.13,107.4,102.7,116.8,121.51
SP500,NFLX,Netflix,93.89,70,0,15,42,13,YES,no,YES,no,56.1,2.71,93.89,89.82,102.03,106.1
OSLO,HAUTO.OL,Hoegh Autoliners,135.3,70,0,15,40,15,YES,FULL,no,no,59.3,5.43,135.3,127.15,151.6,159.75
STOCKHOLM,TELIA.ST,Telia,47.89,70,0,15,40,15,YES,FULL,no,no,64.4,0.83,47.89,46.64,50.39,51.64
SP500,MO,Altria,66.93,67,0,15,42,10,no,no,no,no,60.6,1.32,66.93,64.95,70.9,72.88
SP500,COST,Costco,1001.88,67,0,15,42,10,no,no,no,no,57.4,16.55,1001.88,977.06,1051.52,1076.34
OSLO,HAFNI.OL,Hafnia,73.38,65,0,15,40,10,YES,FULL,no,no,62.1,3.0,73.38,68.88,82.38,86.88
SP500,LIN,Linde,501.46,65,0,15,40,10,YES,FULL,no,no,60.3,10.69,501.46,485.44,533.52,549.55
OSLO,FRO.OL,Frontline,332.7,65,0,15,40,10,YES,FULL,no,no,56.2,16.68,332.7,307.68,382.73,407.75
STOCKHOLM,TEL2-B.ST,Tele2,192.6,65,0,15,40,10,YES,FULL,YES,no,59.6,3.61,192.6,187.18,203.44,208.86
SP500,KO,Coca-Cola,76.94,64,0,15,42,7,no,no,no,no,53.2,1.25,76.94,75.07,80.7,82.57
SP500,WMT,Walmart,123.99,62,0,15,42,5,no,no,no,no,51.5,2.6,123.99,120.09,131.79,135.7
SP500,PEP,PepsiCo,157.74,59,0,15,42,2,no,no,no,no,52.9,3.3,157.74,152.79,167.64,172.58
COMMODITY,AGI,Alamos Gold,42.58,58,0,30,26,2,no,no,no,no,45.4,2.5,42.58,38.82,50.09,53.85
OSLO,TEL.OL,Telenor,168.1,56,0,15,34,7,no,no,no,no,48.4,3.18,168.1,163.33,177.65,182.42
OSLO,NOD.OL,Nordic Semi,148.6,55,0,0,40,15,YES,FULL,no,no,51.5,6.9,148.6,138.25,169.3,179.65
SP500,PFE,Pfizer,27.33,55,0,0,40,15,YES,FULL,YES,no,54.0,0.62,27.33,26.4,29.18,30.11
SP500,JNJ,Johnson & Johnson,242.01,52,0,0,42,10,no,no,no,no,56.8,4.04,242.01,235.95,254.13,260.2
COMMODITY,GLD,SPDR Gold Trust,416.9,50,0,30,18,2,no,no,no,no,39.5,13.04,416.9,397.34,456.02,475.58
COMMODITY,GDXJ,VanEck Junior Gold ETF,112.3,50,0,30,18,2,no,no,no,no,39.8,6.56,112.3,102.46,131.97,141.81
COMMODITY,WPM,Wheaton Precious,125.81,50,0,30,18,2,no,no,no,no,41.5,6.5,125.81,116.06,145.31,155.06
COMMODITY,EQX,Equinox Gold,13.02,50,0,30,18,2,no,no,no,no,40.3,0.88,13.02,11.69,15.66,16.98
COMMODITY,NEM,Newmont,104.24,50,0,30,18,2,no,no,no,no,42.8,4.9,104.24,96.89,118.93,126.28
COMMODITY,FNV,Franco-Nevada,237.32,50,0,30,18,2,no,no,no,no,44.5,10.05,237.32,222.24,267.46,282.54
COMMODITY,CDE,Coeur Mining,17.23,50,0,30,18,2,no,no,no,no,35.3,1.36,17.23,15.18,21.31,23.35
COMMODITY,PAAS,Pan American Silver,52.0,50,0,30,18,2,no,no,no,no,43.1,3.14,52.0,47.29,61.43,66.14
COMMODITY,KGC,Kinross Gold,28.87,50,0,30,18,2,no,no,no,no,41.4,1.54,28.87,26.57,33.48,35.78
COMMODITY,RGLD,Royal Gold,240.89,50,0,30,18,2,no,no,no,no,43.0,11.05,240.89,224.31,274.04,290.62
COMMODITY,SIL,Global X Silver Miners,84.7,50,0,30,18,2,no,no,no,no,39.1,4.84,84.7,77.44,99.22,106.49
COMMODITY,GDX,VanEck Gold Miners ETF,86.99,50,0,30,18,2,no,no,no,no,41.1,4.44,86.99,80.33,100.32,106.98
STOCKHOLM,LUND-B.ST,Lundin Mining,525.5,50,0,30,18,2,no,no,no,no,44.4,11.47,525.5,508.29,559.92,577.13
